"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","DS_mean","PI_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","status","price_diff","last_points"
"rafael-moura",37655,"Rafael Moura","290","ata",6.65,7.9,5.1,0,1,7.9,0,5,14,1,15,0,2,4,3,1,0,"Provável",1.6,7.9
"jonathan",37662,"Jonathan","293","lat",8.87,-0.4,3.5,0,1,-0.4,0,0,3,3,20,1,0,1,0,0,0,"Provável",-1.67,-0.4
"rafael-sobis",37798,"Rafael Sobis","354","ata",6.4,-0.2,12.9,0,1,0,-0.2,10,3,3,18,0,1,1,6,0,0,"Nulo",-0.33,-0.2
"jo",38138,"Jô","264","ata",12.16,-0.5,34.7,0,1,-0.5,0,14,7,0,33,1,2,9,5,3,0,"Provável",-1.79,-0.5
"fernando-prass",38140,"Fernando Prass","354","gol",5.12,-1.2,18.7,0,1,0,-1.2,0,1,0,73,0,0,0,0,0,13,"Provável",-1.14,-1.2
"fred",38162,"Fred","266","ata",2.99,1.4,5.3,0,1,1.4,0,2,6,1,10,0,0,5,1,1,0,"Nulo",0.13,1.4
"wellington-paulista",38279,"Wellington Paulista","356","ata",9.63,10.3,41.5,0,1,10.3,0,10,10,1,19,1,3,11,2,4,0,"Provável",2.45,10.3
"thiago-heleno",38394,"Thiago Heleno","293","zag",4.59,1.3,-0.2,0,1,1.3,0,2,7,4,18,0,0,5,2,0,0,"Provável",-0.22,1.3
"diego-cavalieri",38431,"Diego Cavalieri","263","gol",5.72,1.4,1.4,0,1,0,1.4,0,0,0,6,0,0,0,0,0,1,"Nulo",-1.28,1.4
"edilson",38523,"Edílson","290","lat",5.9,-1,-1,0,1,-1,0,1,1,1,8,0,0,0,1,0,0,"Provável",-2.1,-1
"elton",38588,"Elton","292","ata",10.7,-1.2,14.2,0,1,0,-1.2,17,16,2,35,0,8,4,9,2,0,"Provável",-0.15,-1.2
"hernanes",38648,"Hernanes","276","mei",8.84,2.4,14.7,0,1,2.4,0,5,7,5,23,0,0,7,2,1,0,"Provável",0.18,2.4
"filipe-luis",38750,"Filipe Luís","262","lat",6.56,8.8,15,0,1,0,8.8,4,11,17,62,0,1,11,1,1,0,"Dúvida",1.84,8.8
"mariano",38877,"Mariano","282","lat",8.85,2.5,9.9,0,1,0,2.5,1,5,16,63,0,0,3,0,0,0,"Nulo",-1.16,2.5
"diego",38909,"Diego","262","mei",4.69,1.8,0.0999999999999999,0,1,0,1.8,0,12,3,14,0,0,15,0,0,0,"Dúvida",0.3,1.8
"nene",38913,"Nenê","266","mei",11.65,-0.1,40.9,0,1,-0.1,0,14,6,6,90,1,0,18,7,3,0,"Provável",-0.94,-0.1
"franco",39656,"Franco","282","mei",6.88,9.7,32.7,0,1,0,9.7,7,10,9,29,0,0,8,3,3,0,"Provável",1.92,9.7
"willian",42116,"Willian","275","ata",10.02,6.7,18.6,0,1,0,6.7,6,7,0,12,2,3,4,3,1,0,"Dúvida",0.19,6.7
"egidio",42145,"Egídio","266","lat",11,5.2,40.1,0,1,5.2,0,4,12,40,113,2,0,6,1,0,0,"Provável",0.57,5.2
"osvaldo",42222,"Osvaldo","356","ata",4.66,-1.3,14.7,0,1,-1.3,0,7,7,9,50,1,1,6,5,0,0,"Provável",-1.01,-1.3
"cassio",42234,"Cássio","264","gol",10.38,7.7,13.1,0,1,7.7,0,0,0,1,39,0,0,0,0,0,10,"Provável",1.97,7.7
"marcio-azevedo",42491,"Márcio Azevedo","293","lat",2.76,-2,-2.5,0,1,-2,0,0,6,3,30,0,0,1,0,0,0,"Provável",-0.65,-2
"fagner",42500,"Fagner","264","lat",10.19,-4.5,12.8,0,1,-4.5,0,5,11,16,61,0,0,4,1,1,0,"Suspenso",-2.58,-4.5
"rhodolfo",42501,"Rhodolfo","294","zag",4.62,0.8,5.5,0,1,0,0.8,0,2,8,25,0,0,2,0,0,0,"Provável",-0.67,0.8
"ernando",49651,"Ernando","265","zag",6.19,2,12.3,0,1,2,0,4,2,4,24,0,0,1,1,1,0,"Provável",0.28,2
"wilson",50284,"Wilson","294","gol",8.47,-3.3,23.6,0,1,0,-3.3,0,0,1,84,0,0,2,0,0,13,"Provável",-1.04,-3.3
"ramires",50293,"Ramires","275","mei",5.11,0.9,6.1,0,1,0,0.9,0,3,14,19,0,0,4,0,0,0,"Nulo",-0.31,0.9
"everton",50301,"Everton","284","mei",6.81,8,11.7,0,1,0,8,5,7,6,25,1,1,4,2,0,0,"Nulo",1.68,8
"david-braz",50317,"David Braz","284","zag",8.68,5.4,6.8,0,1,0,5.4,3,3,6,19,0,0,2,1,0,0,"Dúvida",0.92,5.4
"eduardo",50645,"Eduardo","354","lat",3.71,2.1,2.8,0,1,0,2.1,0,2,5,17,0,0,1,0,0,0,"Nulo",-0.3,2.1
"everton-ribeiro",51772,"Everton Ribeiro","262","mei",7.93,5.6,30.5,0,1,0,5.6,10,10,12,66,0,0,19,5,2,0,"Dúvida",0.15,5.6
"bruno-cesar",52558,"Bruno César","267","mei",4.33,3.6,5.6,0,1,3.6,0,4,1,2,19,0,0,4,2,0,0,"Nulo",0.61,3.6
"victor",52950,"Victor","282","gol",6.11,-7.2,-7.2,0,1,0,-7.2,0,0,0,12,0,0,0,0,0,0,"Nulo",-3.89,-7.2
"ytalo",53148,"Ytalo","Bragantino","ata",4.92,0,11.2,0,1,0,0,6,2,2,8,1,0,0,3,0,0,"Dúvida",-1.03,0
"patric",60969,"Patric","292","lat",8.93,4.7,34.8,0,1,0,4.7,9,13,21,89,2,3,11,6,1,0,"Provável",0.11,4.7
"rodriguinho",61033,"Rodriguinho","265","mei",16.05,5.9,43.7,0,1,5.9,0,15,5,2,61,1,1,16,6,3,0,"Provável",-0.11,5.9
"ligger",61141,"Ligger","Bragantino","zag",2.78,0,1.1,0,1,0,0,1,6,3,6,0,0,1,0,0,0,"Nulo",0.08,0
"gilberto",61188,"Gilberto","265","ata",8.31,5.9,21.4,0,1,5.9,0,15,4,5,40,1,2,10,6,0,0,"Provável",0.36,5.9
"d-alessandro",62023,"D'Alessandro","285","mei",3.33,0,4.9,0,1,0,0,4,2,3,20,0,1,5,1,0,0,"Nulo",-0.71,0
"edimar",62024,"Edimar","Bragantino","lat",2.92,-2.5,7.7,0,1,0,0,7,13,19,108,0,1,7,6,0,0,"Provável",-0.9,-2.5
"vanderlei",62121,"Vanderlei","284","gol",11.81,22.8,10.6,0,1,0,22.8,0,1,0,34,0,0,0,0,0,6,"Nulo",5.3,22.8
"william-matheus",62130,"William Matheus","294","lat",6,7.3,20.4,0,1,0,7.3,4,10,9,89,2,2,11,2,1,0,"Provável",1.42,7.3
"paulao",63172,"Paulão","356","zag",2.96,4.3,0.7,0,1,4.3,0,1,14,13,26,0,2,1,1,0,0,"Provável",0.3,4.3
"carlinhos",63194,"Carlinhos","356","lat",6.7,6.2,3.8,0,1,6.2,0,0,7,9,22,0,0,4,0,0,0,"Dúvida",1.37,6.2
"edenilson",63289,"Edenílson","285","mei",8.64,4.8,18.5,0,1,4.8,0,8,15,11,57,1,1,8,3,1,0,"Provável",0.64,4.8
"rodrigo-moledo",63354,"Rodrigo Moledo","285","zag",6.21,4.8,-1,0,1,4.8,0,0,4,2,5,0,0,2,0,0,0,"Provável",0.95,4.8
"nino-paraiba",68808,"Nino Paraíba","265","lat",7.85,-2.6,15.8,0,1,-2.6,0,2,8,24,57,0,0,5,1,0,0,"Provável",-1.16,-2.6
"paulo-miranda",68817,"Paulo Miranda","284","zag",3.45,5.1,0.1,0,1,0,5.1,0,0,1,9,0,0,0,0,0,0,"Provável",0.45,5.1
"ricardinho",68832,"Ricardinho","292","mei",3.52,5.2,11.4,0,1,0,5.2,5,4,7,17,0,1,9,1,0,0,"Provável",0.91,5.2
"marcelo-lomba",68872,"Marcelo Lomba","285","gol",10.05,3.4,-22.4,0,1,3.4,0,0,1,0,104,0,0,0,0,0,0,"Dúvida",1.2,3.4
"digao",68886,"Digão","266","zag",6.24,8.6,11.3,0,1,8.6,0,3,6,6,8,0,0,2,2,1,0,"Provável",1.21,8.6
"wellington-silva",68895,"Wellington Silva","266","ata",3.36,0.8,12.6,0,1,0.8,0,3,6,5,15,0,1,15,2,1,0,"Provável",-1.69,0.8
"diego-souza",68911,"Diego Souza","284","ata",8.3,-0.6,4.3,0,1,0,-0.6,9,12,4,40,0,0,5,7,1,0,"Nulo",0.07,-0.6
"gil",68923,"Gil","264","zag",4.44,1.7,3.9,0,1,1.7,0,0,8,11,36,0,0,4,0,0,0,"Provável",0.21,1.7
"rafael",68928,"Rafael","282","gol",7.81,-5.6,-1.1,0,1,0,-5.6,0,2,0,56,0,0,0,0,0,5,"Suspenso",-2.6,-5.6
"giovanni-augusto",68938,"Giovanni Augusto","294","mei",4.59,0.7,3.5,0,1,0,0.7,0,2,1,10,0,0,9,0,0,0,"Nulo",-0.18,0.7
"marinho",68952,"Marinho","277","ata",25.41,18,104.7,0,1,18,0,26,14,14,40,3,6,48,12,6,0,"Provável",2.21,18
"santos",69012,"Santos","293","gol",5.31,1.6,2,0,1,1.6,0,0,0,0,40,0,0,0,0,0,6,"Provável",0.52,1.6
"muriel",69041,"Muriel","266","gol",4.5,3.8,4.2,0,1,3.8,0,0,0,0,58,0,0,0,0,0,6,"Provável",-0.55,3.8
"isla",69345,"Isla","262","lat",8.17,-0.4,5.4,0,1,0,-0.4,0,8,4,26,2,2,1,0,0,0,"Dúvida",-0.27,-0.4
"kalou",69524,"Kalou","263","ata",7.37,-1.2,10.8,0,1,0,-1.2,4,6,2,15,0,0,5,2,1,0,"Nulo",-1.59,-1.2
"nikao",69705,"Nikão","293","mei",9.66,-3.2,6.7,0,1,-3.2,0,9,5,1,30,0,1,11,6,0,0,"Provável",-2.19,-3.2
"fellipe-bastos",70116,"Fellipe Bastos","267","mei",10.56,0,40.7,0,1,0,0,9,21,16,37,0,0,2,1,4,0,"Provável",-0.45,0
"eduardo-sasha",70360,"Eduardo Sasha","282","ata",8.37,8.4,20.5,0,1,0,8.4,6,5,4,12,1,0,4,2,1,0,"Provável",0.58,8.4
"bruno-henrique",70944,"Bruno Henrique","275","mei",6.65,-0.1,2.4,0,1,0,-0.1,5,13,7,29,0,1,4,3,0,0,"Nulo",-0.6,-0.1
"leo-cittadini",70986,"Léo Cittadini","293","mei",13.09,4.2,30.4,0,1,4.2,0,14,13,15,29,0,0,15,12,1,0,"Provável",0.06,4.2
"felipe-baxola",71113,"Felipe Baxola","354","mei",3.58,-0.2,-0.2,0,1,0,-0.2,0,0,0,2,0,0,0,0,0,0,"Nulo",-0.2,-0.2
"vinicius",71162,"Vinícius","354","mei",7.36,1,26.7,0,1,0,1,15,6,5,55,0,1,4,8,2,0,"Provável",-0.6,1
"lucho-gonzalez",71479,"Lucho González","293","mei",2.9,-3.7,-0.9,0,1,-3.7,0,2,4,0,12,0,0,0,1,0,0,"Nulo",-0.92,-3.7
"fernando-miguel",71571,"Fernando Miguel","267","gol",9.17,3.4,8.8,0,1,3.4,0,0,0,0,62,0,0,2,0,0,7,"Provável",-0.6,3.4
"weverton",71631,"Weverton","275","gol",8.79,4.7,-6.7,0,1,0,4.7,0,0,0,47,0,0,0,0,0,2,"Provável",0.69,4.7
"gustavo-gomez",71684,"Gustavo Gómez","275","zag",13.23,5.1,18.2,0,1,0,5.1,4,12,10,21,1,2,6,2,1,0,"Provável",0.94,5.1
"elton",71719,"Elton","265","mei",3.66,0.5,3.9,0,1,0.5,0,0,2,4,1,0,0,2,0,0,0,"Nulo",-0.46,0.5
"thiago-galhardo",71844,"Thiago Galhardo","285","mei",20.47,21.1,94.8,0,1,21.1,0,17,10,9,42,3,2,18,7,8,0,"Nulo",2.3,21.1
"juninho",71937,"Juninho","356","mei",3.04,2.1,13.4,0,1,2.1,0,10,18,14,72,0,0,9,8,1,0,"Provável",-0.64,2.1
"uillian-correia",72007,"Uillian Correia","Bragantino","mei",2.92,0,0.4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,"Nulo",-0.2,0
"tiago-volpi",72018,"Tiago Volpi","276","gol",12.3,-1.1,4.7,0,1,-1.1,0,0,0,1,68,0,0,1,0,0,7,"Provável",-0.77,-1.1
"bruno-cortez",72079,"Bruno Cortez","284","lat",11.14,6.9,12.1,0,1,0,6.9,1,11,20,57,0,1,9,1,0,0,"Provável",1.21,6.9
"danilo-avelar",72142,"Danilo Avelar","264","zag",4.41,-5,9.6,0,1,-5,0,7,14,8,27,0,0,2,1,1,0,"Suspenso",-1.28,-5
"felipe-alves",72372,"Felipe Alves","356","gol",3.64,4.7,0.799999999999997,0,1,4.7,0,0,0,2,102,0,0,2,0,0,6,"Provável",0.71,4.7
"hernane",72386,"Hernane","292","ata",1.65,0,-0.9,0,1,0,0,0,5,1,4,0,0,8,0,0,0,"Nulo",-0.1,0
"mike",72389,"Mike","290","ata",3.01,-1.2,5.7,0,1,-1.2,0,4,4,3,9,0,0,7,3,0,0,"Nulo",-0.37,-1.2
"juanfran",72620,"Juanfran","276","lat",6.21,0.9,4.6,0,1,0.9,0,1,5,6,17,0,0,4,1,0,0,"Nulo",0.14,0.9
"luiz-adriano",72772,"Luiz Adriano","275","ata",12.48,7.2,38.5,0,1,0,7.2,10,11,5,17,0,0,10,5,4,0,"Dúvida",1.08,7.2
"rafael-vaz",73421,"Rafael Vaz","290","zag",5.7,-4,8.9,0,1,-4,0,10,10,8,59,0,0,5,5,1,0,"Suspenso",-1.26,-4
"luccas-claro",73465,"Luccas Claro","266","zag",6.21,3.5,12.4,0,1,3.5,0,2,4,15,47,0,2,7,2,0,0,"Provável",0.7,3.5
"rogerio",73540,"Rogério","292","ata",3.97,0.5,0.5,0,1,0,0.5,0,1,0,5,0,0,3,0,0,0,"Nulo",-1.03,0.5
"gilberto",73789,"Gilberto","290","mei",2.88,0.7,0.8,0,1,0.7,0,0,5,4,7,0,0,0,0,0,0,"Nulo",-0.16,0.7
"rodrigo-caio",73800,"Rodrigo Caio","262","zag",8.92,-0.2,15,0,1,0,-0.2,4,10,18,16,0,0,3,3,0,0,"Dúvida",-0.41,-0.2
"geuvanio",73896,"Geuvânio","293","ata",6.19,7.7,22.3,0,1,7.7,0,6,11,4,27,2,0,6,2,1,0,"Dúvida",1.63,7.7
"elber",74140,"Élber","265","ata",9.67,2.2,38.5,0,1,2.2,0,13,5,9,52,1,3,23,5,1,0,"Provável",0.25,2.2
"abel-hernandez",74159,"Abel Hernández","285","ata",6.86,1.2,1.1,0,1,1.2,0,0,1,2,4,0,0,0,0,0,0,"Provável",-0.03,1.2
"madson",78077,"Madson","277","lat",4.43,4.5,3.3,0,1,4.5,0,1,1,0,14,1,2,3,0,0,0,"Dúvida",0.23,4.5
"gustavo-henrique",78248,"Gustavo Henrique","262","zag",5.24,0.1,3.2,0,1,0,0.1,2,3,3,9,0,0,2,2,0,0,"Dúvida",-0.34,0.1
"matheuzinho",78424,"Matheuzinho","373","mei",5.74,8.4,16.3,0,1,0,8.4,6,3,6,17,1,1,4,5,0,0,"Nulo",1.39,8.4
"vitinho",78435,"Vitinho","262","ata",6.14,2.6,8,0,1,0,2.6,7,5,4,20,0,0,5,6,0,0,"Dúvida",0.2,2.6
"willian-arao",78478,"Willian Arão","262","mei",8.41,1.5,16.7,0,1,0,1.5,6,11,19,30,0,0,5,5,0,0,"Provável",-0.3,1.5
"ricardinho",78577,"Ricardinho","354","mei",2.87,2,0.8,0,1,0,2,0,2,3,12,0,0,0,0,0,0,"Provável",0.16,2
"gabriel",78605,"Gabriel","264","mei",4.88,3.6,14.3,0,1,3.6,0,1,12,16,25,1,0,8,1,0,0,"Dúvida",0.29,3.6
"ramiro",78715,"Ramiro","264","mei",6.22,0.3,18.4,0,1,0.3,0,5,13,18,37,0,0,4,3,1,0,"Provável",-0.27,0.3
"reinaldo",78850,"Reinaldo","276","lat",13.22,1.4,21.1,0,1,1.4,0,6,14,16,71,1,0,8,2,1,0,"Provável",0.09,1.4
"tiago",79042,"Tiago ","354","zag",6.12,2.9,8,0,1,0,2.9,1,6,12,33,0,0,6,1,0,0,"Provável",0.12,2.9
"victor-cuesta",79113,"Víctor Cuesta","285","zag",11.7,4,0.199999999999999,0,1,4,0,0,17,14,63,0,0,8,0,0,0,"Provável",0.84,4
"sassa",79578,"Sassá","294","ata",3.78,6.9,16.8,0,1,0,6.9,13,19,2,16,1,4,9,7,1,0,"Provável",1.41,6.9
"cano",79631,"Cano","267","ata",13.85,7.6,53.9,0,1,7.6,0,14,7,2,18,0,4,2,3,6,0,"Provável",0.19,7.6
"lucas-silva",79701,"Lucas Silva","284","mei",4.94,0,12.1,0,1,0,0,4,9,12,26,0,0,14,4,0,0,"Dúvida",-0.67,0
"jadson",80129,"Jadson","265","mei",2.86,0.5,2.6,0,1,0.5,0,1,1,1,2,0,0,3,1,0,0,"Nulo",-0.16,0.5
"yago-pikachu",80196,"Yago Pikachu","267","lat",7.78,1.1,5.7,0,1,1.1,0,5,9,6,26,0,0,4,3,0,0,"Provável",-0.93,1.1
"luciano",80287,"Luciano","276","ata",9.46,10.2,43.1,0,1,10.2,0,8,13,14,24,1,0,10,2,3,0,"Provável",0.67,10.2
"edson",80370,"Edson ","373","mei",8.98,3,43.7,0,1,0,3,6,15,29,22,1,0,17,4,1,0,"Provável",-1.08,3
"victor-andrade",80536,"Victor Andrade","290","ata",5.36,-3.3,20.8,0,1,-3.3,0,10,19,9,18,0,0,24,8,1,0,"Suspenso",-1.45,-3.3
"lucas-lima",80583,"Lucas Lima","275","mei",5.43,4.9,8.5,0,1,0,4.9,4,12,12,65,0,0,16,2,0,0,"Provável",0.71,4.9
"michel",80664,"Michel","264","lat",5.07,1.5,5.8,0,1,1.5,0,3,1,3,15,0,0,4,2,0,0,"Provável",-0.75,1.5
"luan",80692,"Luan","275","zag",5.69,4.8,4.2,0,1,0,4.8,2,10,13,24,0,1,4,2,0,0,"Provável",1.21,4.8
"jair",81091,"Jair","282","mei",7.41,-1.4,31.5,0,1,0,-1.4,3,22,22,21,2,0,15,2,1,0,"Suspenso",-0.78,-1.4
"mayke",81150,"Mayke","275","lat",6.87,7.5,7.8,0,1,0,7.5,0,8,15,37,0,0,4,0,0,0,"Provável",1.4,7.5
"carlos-sanchez",81677,"Carlos Sánchez","277","mei",5.38,0.4,10.5,0,1,0.4,0,7,8,12,79,0,1,17,5,0,0,"Provável",-0.05,0.4
"keko",81683,"Keko ","290","ata",2.93,3.9,9.6,0,1,3.9,0,1,5,5,24,1,2,5,0,0,0,"Nulo",0.67,3.9
"bruno-nazario",81776,"Bruno Nazário","263","mei",6.99,2.4,20,0,1,0,2.4,12,13,8,61,0,0,10,4,1,0,"Provável",-1,2.4
"rossi",81798,"Rossi","265","ata",5.45,-0.1,15.3,0,1,-0.1,0,6,9,10,55,0,2,10,3,1,0,"Dúvida",-0.52,-0.1
"alisson",81845,"Alisson","284","mei",12.72,11.3,52.9,0,1,0,11.3,19,5,16,77,2,2,19,7,1,0,"Nulo",1.3,11.3
"chico",82407,"Chico","373","ata",4.07,2.4,21.1,0,1,0,2.4,7,7,6,20,2,0,7,4,0,0,"Provável",-0.43,2.4
"tadeu",82453,"Tadeu","290","gol",5.51,-6.1,-10.8,0,1,-6.1,0,0,0,0,33,0,0,1,0,0,3,"Provável",-1.46,-6.1
"ze-rafael",82455,"Zé Rafael","275","mei",10.18,1.9,27.9,0,1,0,1.9,8,18,13,25,1,0,20,5,1,0,"Provável",-0.75,1.9
"tinga",82628,"Tinga","356","lat",6.93,7.7,13.7,0,1,7.7,0,1,3,12,63,1,0,3,0,0,0,"Nulo",0.63,7.7
"matheus-galdezani",82634,"Matheus Galdezani","294","mei",11.28,2.9,44.4,0,1,0,2.9,11,7,32,56,0,0,20,5,0,0,"Dúvida",0.04,2.9
"hyuri",82758,"Hyuri","373","ata",6.13,-0.6,12.8,0,1,0,-0.6,5,10,7,8,0,3,3,3,1,0,"Nulo",-0.22,-0.6
"rafael-forster",82764,"Rafael Forster","263","zag",2.62,-0.8,0.4,0,1,0,-0.8,3,7,3,34,0,0,6,2,0,0,"Provável",-0.23,-0.8
"betinho",82876,"Betinho","292","mei",4.79,2,17.1,0,1,0,2,1,24,28,52,1,0,10,1,0,0,"Suspenso",-0.01,2
"otero",83004,"Otero","264","mei",12.38,7.2,18.1,0,1,7.2,0,11,7,4,23,1,0,9,4,0,0,"Provável",0.83,7.2
"gabriel",83257,"Gabriel","262","ata",14.49,9.5,60.2,0,1,0,9.5,28,5,4,49,0,5,9,12,5,0,"Dúvida",0.48,9.5
"patrick",83433,"Patrick","285","mei",11.01,1.9,38.5,0,1,1.9,0,11,17,19,54,1,2,14,3,1,0,"Dúvida",-1.46,1.9
"clayson",83817,"Clayson","265","ata",4.5,-0.8,9.4,0,1,-0.8,0,2,3,2,14,0,2,5,1,1,0,"Nulo",-1.36,-0.8
"fernando-sobral",84428,"Fernando Sobral","354","mei",12.44,2.8,51.8,0,1,0,2.8,12,20,33,58,3,3,22,7,0,0,"Provável",-0.42,2.8
"romarinho",84523,"Romarinho","356","ata",8.6,0.3,35.9,0,1,0.3,0,15,5,9,36,0,1,14,9,2,0,"Provável",-0.31,0.3
"lucas-evangelista",84674,"Lucas Evangelista","Bragantino","mei",3.06,1.4,4.3,0,1,0,0,1,4,5,10,0,0,6,1,0,0,"Nulo",0.26,1.4
"robson",84817,"Robson","294","ata",8.14,9.6,32.9,0,1,0,9.6,14,11,9,41,0,6,18,8,2,0,"Provável",1.97,9.6
"henrique",84893,"Henrique","267","lat",6.48,0,1.9,0,1,0,0,1,21,16,38,0,0,7,0,0,0,"Provável",-0.2,0
"ronaldo-henrique",85149,"Ronaldo Henrique","292","mei",3.07,-1.7,4.5,0,1,0,-1.7,0,7,8,10,0,0,5,0,0,0,"Provável",-0.8,-1.7
"cantillo",85315,"Cantillo","264","mei",5.71,-0.2,13.5,0,1,-0.2,0,5,9,8,23,1,0,8,3,0,0,"Provável",0.21,-0.2
"joao-paulo",85425,"João Paulo","277","gol",9.77,9.3,47.5,0,1,9.3,0,0,0,0,35,0,0,2,0,0,16,"Provável",-0.29,9.3
"leo",85626,"Léo","276","lat",3.76,-2,8.6,0,1,-2,0,0,4,5,34,1,0,11,0,0,0,"Provável",-1.16,-2
"ricardo-ryller",85856,"Ricardo Ryller","Bragantino","mei",3.03,-3.8,10.7,0,1,0,0,6,33,27,36,0,0,13,6,0,0,"Provável",-1.04,-3.8
"hyoran",85931,"Hyoran","282","mei",12.89,2.8,41.8,0,1,0,2.8,17,13,12,53,1,1,12,8,2,0,"Dúvida",0.1,2.8
"victor-luis",86410,"Victor Luis","263","lat",10.62,12.6,20,0,1,0,12.6,2,0,12,27,0,0,3,0,1,0,"Provável",1.12,12.6
"keno",86485,"Keno","282","ata",7.93,-1.9,13.1,0,1,0,-1.9,15,13,7,61,0,5,7,6,0,0,"Provável",-0.91,-1.9
"everton-felipe",86519,"Everton Felipe","373","mei",4.03,-0.2,10.9,0,1,0,-0.2,3,3,9,64,0,0,17,2,0,0,"Nulo",-0.35,-0.2
"tche-tche",86686,"Tchê Tchê","276","mei",7.35,-1.4,16.1,0,1,-1.4,0,9,8,11,27,0,0,12,5,0,0,"Provável",-0.71,-1.4
"jonathan",86713,"Jonathan","294","lat",4.47,3.6,10.5,0,1,0,3.6,2,7,15,35,0,1,5,1,0,0,"Provável",0.4,3.6
"sidcley",86764,"Sidcley","264","lat",6.73,-0.1,11.1,0,1,-0.1,0,2,4,11,39,0,1,9,1,0,0,"Dúvida",-0.44,-0.1
